Country,City,Year,AQI,PM2.5,PM10,Deforestation_Rate_%,Afforestation_Rate_%,Vehicles_Increase_%,Industries_Increase_%,Env_Budget_Million_USD,Population_Density_Per_SqKm,CO2_Emissions_MT,Green_Space_Ratio_%,Avg_Life_Expectancy_Index
japan,yokohama,2017.0,59.01,40.96,59.17,1.05,4.79,6.26,2.51,527.74,7456.65,106.59,45.87,82.12
india,delhi,2021.0,148.85,72.45,132.39,3.13,1.12,18.33,7.27,31.77,6274.91,269.36,33.95,75.14
brazil,rio de janeiro,2015.0,159.49,74.56,146.67,2.99,2.14,10.43,5.96,261.06,13794.48,219.24,29.62,74.89
south africa,cape town,2016.0,161.28,72.41499999999999,146.93,2.5,1.34,10.63,9.45,225.47,12344.85,238.48,29.17,74.7
colombia,cartagena,2018.0,83.14,43.25,79.44,0.79,0.39,7.26,9.22,250.47,2412.18,194.21,37.98,79.96
australia,melbourne,2020.0,47.82,26.94,51.28,0.85,4.79,1.26,5.0,315.0,8245.12,91.41,45.27,82.44
argentina,la plata,2014.0,63.22,34.78,52.42,0.67,0.89,6.26,5.29,139.11,1545.26,182.37,40.46,81.06
ghana,kumasi,2018.0,122.56,69.04,96.58,3.22,0.58,8.78,6.9,375.28,5888.59,178.15,32.63,77.58
tanzania,dodoma,2021.0,103.01,55.94,74.37,2.13,0.62,2.4,4.04,48.76,2662.79,101.41,37.06,78.23
colombia,bogota,2017.0,89.15,53.06,63.43,0.57,1.02,9.19,4.26,296.62,9635.42,183.58,32.86,79.65
ukraine,odessa,2014.0,171.14,113.22,171.35,2.43,0.82,12.57,7.74,204.19,13396.31,216.43,26.62,74.0
germany,hamburg,2019.0,15.91,9.87,13.62,0.5,1.33,4.66,3.92,178.67000000000002,10797.89,140.22,32.68,86.29
pakistan,islamabad,2021.0,327.12,138.79,225.72500000000002,5.42,0.38,15.1,8.09,177.07999999999998,7774.59,304.14,23.48,63.36
uk,glasgow,2022.0,77.2,37.26,71.53,0.47,1.91,2.15,1.8,512.29,8539.44,70.76,36.71,80.88
vietnam,can tho,2014.0,164.79,71.32,148.25,2.85,0.4,13.24,5.85,81.84,12766.39,223.78,25.57,74.18
philippines,quezon city,2022.0,113.86,65.72,121.91,3.93,2.31,10.8,4.03,152.97,3664.33,151.97,39.33,77.71
netherlands,amsterdam,2023.0,86.83,46.21,75.04,0.29,1.48,4.63,2.07,577.5,11590.06,103.93,33.17,80.37
kenya,nairobi,2014.0,143.26,97.14,147.73,6.44,0.92,7.8,2.27,15.78,3793.86,138.27,32.52,75.48
philippines,quezon city,2014.0,159.85,101.8,167.19,1.7,1.35,5.56,7.51,87.87,13867.36,177.55,28.49,74.52
ethiopia,harar,2016.0,108.25,45.68,95.62,2.08,0.96,5.61,2.13,30.24,3996.93,111.02,36.81,77.84
ghana,tamale,2018.0,106.89,43.96,116.53,4.32,2.9,4.25,4.04,334.74,3507.07,109.45,40.86,78.54
mongolia,choibalsan,2018.0,289.97,187.25,311.64,2.05,0.85,22.15,10.27,185.66,20049.1,331.57,20.45,65.99
pakistan,faisalabad,2016.0,257.26,138.79,225.72500000000002,5.96,0.76,21.41,16.12,100.25,7774.59,318.37,23.48,77.3
indonesia,medan,2019.0,157.31,86.46,164.99,3.48,2.74,6.54,3.07,283.08,14634.25,133.0,30.11,75.08
nigeria,abuja,2022.0,316.48,157.3,236.62,1.57,1.18,7.78,11.98,64.75,19196.54,320.93,22.77,64.03
sweden,malmo,2022.0,48.13,33.51,41.82,0.19,1.61,3.27,1.97,751.79,7774.59,85.82,36.78,83.29
france,marseille,2019.0,34.86,17.71,37.71,0.81,1.35,4.54,1.56,178.67000000000002,6465.69,80.29,36.78,84.82
thailand,khon kaen,2017.0,180.39,114.93,196.49,4.46,2.85,12.49,7.75,117.05,10984.36,237.41,33.12,73.21
thailand,pattaya,2022.0,125.67,61.29,103.89,2.23,1.96,5.01,6.54,119.12,5577.36,131.64,38.06,76.86
uae,dubai,2017.0,181.3,102.78,151.96,3.94,2.86,9.69,9.08,80.56,8017.83,228.43,36.61,73.07
chile,temuco,2015.0,138.39,70.0,129.7,3.39,0.87,8.19,5.77,261.01,7156.29,154.35,32.05,76.3
ghana,cape coast,2019.0,104.56,64.86,79.19,2.97,1.38,4.31,8.42,195.61,4074.37,151.98,37.1,78.42
egypt,cairo,2022.0,239.34,108.98,183.16,2.74,0.37,16.78,6.05,140.89,7774.59,254.18,13.96,69.33
russia,yekaterinburg,2019.0,115.22,62.0,101.0,2.68,1.26,9.11,4.93,65.17,9212.87,178.27,31.88,77.45
iran,karaj,2016.0,304.95,122.31,305.96,4.97,0.28,12.0,13.25,62.3,20860.42,317.97,15.0,64.79
egypt,alexandria,2023.0,279.74,194.14,201.28,1.9,0.4,20.24,15.35,121.32,10903.51,350.63,28.39,66.59
brazil,brasilia,2023.0,148.77,63.8,150.26,4.13,1.96,8.11,3.99,64.92,11234.46,149.4,30.52,75.21
colombia,medellin,2018.0,134.73,72.94,118.84,0.9,0.73,5.18,5.3,93.11,12137.2,166.61,29.16,76.2
canada,vancouver,2014.0,50.33,22.56,45.99,0.15,4.42,4.67,3.82,773.01,10873.89,132.92,42.25,83.19
bangladesh,sylhet,2015.0,273.02,154.41,228.24,2.76,0.41,13.04,8.56,69.11,7774.59,279.08,13.29,66.94
ukraine,kharkiv,2022.0,130.56,74.33,106.37,2.17,0.49,5.16,3.75,120.07,10757.32,144.96,28.53,76.54
turkey,izmir,2022.0,129.68,53.19,115.46,4.47,2.05,4.8,8.21,208.52,8739.54,173.33,32.95,76.77
india,kolkata,2019.0,312.52,163.92,247.06,3.15,1.06,19.6,8.27,111.91,7774.59,343.23,23.975,64.39
tanzania,mbeya,2015.0,125.86,64.69,112.44,6.74,0.86,5.92,4.02,47.55,255.21,136.44,35.57,76.7
japan,tokyo,2023.0,37.32,21.36,31.18,0.56,3.88,1.25,4.79,677.1,7806.98,122.17,43.28,83.87
saudi arabia,medina,2019.0,117.66,67.45,103.97,3.35,0.84,8.72,4.68,105.1,11067.45,176.01,28.1,77.37
morocco,casablanca,2022.0,139.91,92.55,145.44,1.02,1.6,4.68,4.85,195.72,12404.74,134.32,31.37,76.06
russia,novosibirsk,2017.0,88.37,60.21,87.09,1.06,2.91,12.0,8.0,214.85,2530.2,195.69,45.15,79.54
spain,seville,2015.0,48.8,24.82,45.96,0.82,2.63,6.5,3.08,353.93,6682.34,138.17,40.39,82.45
south africa,johannesburg,2016.0,80.02,44.36,74.57,0.56,1.72,5.34,5.84,178.24,3642.57,149.92,40.97,80.2
japan,osaka,2023.0,15.0,6.59,12.35,0.63,3.03,6.86,4.84,702.21,1210.54,148.58,47.25,85.4
chile,antofagasta,2021.0,153.98,70.06,122.3,4.44,2.87,8.09,8.7,190.95,11901.41,217.81,32.26,75.12
italy,naples,2021.0,18.11,9.0,17.57,0.61,3.42,6.43,3.82,177.07999999999998,1810.48,120.56,47.85,86.14
uk,manchester,2017.0,15.0,8.49,10.93,0.83,3.1,2.77,4.52,182.29,4118.35,87.96,44.34,86.37
china,guangzhou,2018.0,282.12,182.96,249.22,2.68,0.53,19.87,15.99,30.03,13256.4,369.33,25.66,66.25
spain,valencia,2019.0,43.89,30.55,39.81,0.9,3.29,4.42,3.5,178.67000000000002,11850.63,127.04,37.11,83.88
ghana,kumasi,2020.0,97.23,59.0,75.42,0.67,0.85,5.1,7.32,164.32,10319.25,160.06,31.57,78.85
pakistan,rawalpindi,2017.0,257.77,131.07,225.72500000000002,5.95,1.31,13.05,15.27,118.85,12565.56,307.05,25.41,68.05
thailand,phuket,2016.0,88.79,59.03,63.73,1.35,0.37,11.87,7.24,338.86,4898.54,204.69,34.85,79.76
brazil,brasilia,2022.0,109.77,72.49,105.99,0.89,0.46,11.6,7.88,0.23031,5656.66,192.89,34.84,78.14
china,chengdu,2021.0,253.02,110.67,273.17,3.91,0.94,11.29,12.51,44.6,21162.57,291.98,17.75,68.22
south africa,cape town,2023.0,133.64,69.47,97.81,2.84,1.41,9.43,4.92,393.52,13146.05,174.75,28.23,76.88
sweden,gothenburg,2020.0,51.79,31.24,53.5,0.23,2.76,3.3,2.0,616.9,6395.0,100.74,41.66,82.78
philippines,cebu city,2016.0,92.84,37.56,66.22,4.09,1.1,11.24,4.47,288.29,3195.58,165.58,36.02,79.39
spain,barcelona,2023.0,30.28,20.72,21.34,1.11,1.42,5.56,2.44,438.15,2528.07,84.36,40.63,83.86
ghana,sekondi,2016.0,133.2,90.83,102.84,4.49,2.32,9.33,5.28,382.04,8714.66,177.53,33.75,76.88
nigeria,kano,2019.0,224.35,116.06,229.23,3.06,0.97,19.89,10.76,75.21,5300.53,293.21,34.55,70.19
south africa,pretoria,2016.0,182.53,113.39,136.32,1.05,0.98,13.11,8.06,201.58,9202.45,216.09,32.68,73.23
tanzania,mwanza,2016.0,127.62,88.03,137.42,2.74,0.72,7.73,4.73,14.52,2521.88,148.06,36.91,76.52
mongolia,erdenet,2016.0,303.14,173.29,217.02,5.03,1.05,20.25,13.75,30.7,12334.93,370.01,25.78,64.85
south africa,johannesburg,2021.0,136.04,75.35,109.08,0.63,0.76,11.11,6.24,72.64,10440.82,202.41,31.2,76.08
ukraine,odessa,2016.0,138.4,64.65,120.57,0.51,1.41,9.68,8.36,213.2,9101.42,228.49,34.63,76.2
russia,novosibirsk,2021.0,177.38,94.06,173.51,4.27,2.07,12.95,7.13,316.58,7308.91,221.98,34.63,73.81
india,delhi,2018.0,218.4,125.63,199.94,4.58,0.63,16.68,7.07,38.69,11191.2,247.48,26.12,70.52
kenya,nairobi,2022.0,116.85,48.89,111.95,6.56,0.96,6.88,4.11,64.17,1659.36,145.35,34.65,77.34
usa,new york,2016.0,15.0,6.33,15.91,0.85,2.3,6.78,2.96,178.24,1694.19,107.82,44.37,86.14
bangladesh,sylhet,2017.0,203.07,112.73,214.03,4.64,1.17,11.87,7.58,138.87,13108.07,237.55,25.75,71.74
canada,montreal,2018.0,47.36,29.25,46.76,1.19,1.82,1.1,2.84,185.66,7100.76,98.25,37.17,83.8
argentina,cordoba,2019.0,127.53,61.55,120.75,3.36,0.64,12.68,3.1,231.78,11954.86,169.64,26.61,76.96
tanzania,mbeya,2019.0,116.95,55.56,92.24,4.35,0.33,5.87,4.41,24.97,3236.17,134.22,33.42,77.25
ukraine,dnipro,2020.0,119.94,59.25,126.77,1.24,1.38,5.05,4.39,157.82,14355.06,123.19,28.55,77.32
netherlands,the hague,2019.0,15.0,6.78,12.15,0.21,1.87,6.66,1.77,178.67000000000002,884.13,104.97,44.51,86.38
italy,palermo,2015.0,48.57,31.58,39.96,1.13,3.33,6.65,0.53,178.5,6011.39,109.87,42.85,83.79
thailand,pattaya,2022.0,184.47,75.82,183.6,2.33,2.07,11.83,4.46,326.78,14314.12,207.36,29.56,73.36
russia,saint petersburg,2020.0,124.14,81.67,135.66,3.93,0.99,8.72,5.17,216.07,8689.17,162.91,30.35,77.16
norway,oslo,2015.0,54.08,21.72,39.59,0.06,4.0,6.89,1.53,371.67,2376.77,99.35,49.57,82.14
colombia,barranquilla,2021.0,100.19,48.63,77.27,0.98,0.97,10.86,6.28,264.93,2422.59,182.61,39.49,78.85
colombia,barranquilla,2020.0,135.8,59.59,134.12,2.88,0.84,6.74,8.59,176.62,4724.97,194.87,34.9,76.11
saudi arabia,dammam,2014.0,127.51,66.67,110.25,2.63,2.14,12.9,9.01,241.58,4666.87,225.08,39.12,76.98
mexico,guadalajara,2022.0,88.14,50.29,85.45,2.58,1.79,4.66,5.09,327.56,5884.73,115.2,36.89,79.78
philippines,davao,2016.0,176.67,71.48,185.04,3.07,5.12,5.81,8.99,75.22,11254.69,208.38,28.94,73.37
iraq,mosul,2020.0,288.62,179.12,300.44,5.53,0.51,20.47,13.87,86.26,8834.47,335.51,22.799999999999997,65.93
nigeria,kano,2021.0,320.09,196.09,234.89,2.95,1.41,7.63,16.09,119.75,21355.8,366.07,19.93,63.9
ethiopia,addis ababa,2020.0,91.27,36.82,69.88,2.93,0.18,5.73,2.2,46.75,3093.02,88.32,34.53,79.01
mongolia,murun,2016.0,277.26,158.93,234.5,5.09,0.5,19.06,10.41,54.41,13411.89,317.24,23.01,66.62
mongolia,ulaanbaatar,2023.0,297.67,174.16,317.39,5.88,1.11,10.6,10.72,116.42,19492.58,279.36,17.96,65.39
bangladesh,chittagong,2019.0,236.82,108.3,199.34,4.26,1.31,16.9,11.89,147.44,6105.97,294.18,33.55,69.51
saudi arabia,mecca,2015.0,197.85,99.94,139.97,3.18,2.81,11.56,8.72,139.67,13163.36,246.6,32.08,72.09
iran,mashhad,2019.0,322.42,166.51,311.13,3.02,0.65,19.67,16.27,75.14,7774.59,390.6,13.76,63.66
russia,novosibirsk,2016.0,105.11,72.42,81.02,3.58,2.61,7.17,9.54,186.95,1267.53,191.8,42.98,78.37
saudi arabia,jeddah,2022.0,127.74,55.21,103.87,1.64,1.25,13.53,3.59,354.45,9061.51,187.28,33.06,77.19
nigeria,abuja,2018.0,199.84,110.1,205.89,3.88,1.23,20.8,6.5,176.42,13194.14,294.78,26.62,72.03
canada,vancouver,2015.0,44.31,19.49,40.58,0.68,4.92,3.1,4.72,178.5,8099.41,130.55,45.99,84.22
canada,toronto,2020.0,66.9,44.34,64.85,0.82,2.2,4.03,3.94,176.62,6983.12,118.84,38.8,82.67
thailand,khon kaen,2018.0,151.14,90.67,163.53,1.96,1.45,7.42,7.22,150.48,14479.16,197.0,27.92,75.23
vietnam,ho chi minh city,2023.0,116.14,57.37,114.57499999999999,1.66,2.89,10.95,7.44,107.73,9188.78,212.92,37.82,77.47
germany,hamburg,2017.0,24.48,16.29,23.34,0.39,2.53,3.75,2.19,708.43,7937.18,83.87,39.25,84.78
indonesia,bandung,2021.0,114.97,69.7,106.85,0.58,0.54,9.88,8.01,339.8,8664.87,213.48,32.38,78.01
bangladesh,rajshahi,2015.0,245.73,162.01,203.31,3.89,0.7,16.67,9.67,121.44,21081.26,311.15,17.13,68.86
peru,trujillo,2019.0,153.54,99.23,114.93,2.67,1.35,5.94,7.52,177.24,14059.04,177.53,34.394999999999996,75.12
russia,yekaterinburg,2014.0,102.47,64.77,96.02,3.33,0.87,4.3,3.84,291.59,10003.29,137.43,29.27,78.75
china,shenzhen,2021.0,268.16,169.18,282.52,2.8,1.06,14.29,12.62,93.13,21462.1,318.24,18.93,67.31
india,delhi,2020.0,281.73,168.79,201.76,3.36,0.91,13.39,16.52,65.14,22914.12,330.48,16.46,66.35
brazil,fortaleza,2018.0,147.06,64.63,127.39,3.93,0.48,6.11,9.42,389.79,12660.56,204.18,24.84,75.98
canada,vancouver,2020.0,66.88,39.34,51.22,1.02,4.26,5.87,2.95,337.01,6291.37,133.73,45.48,81.22
ukraine,dnipro,2016.0,136.18,86.61,106.71,0.9,1.97,12.9,6.82,314.71,8557.95,218.14,36.46,76.55
germany,hamburg,2021.0,61.38,26.33,57.73,0.82,3.2,3.66,4.75,177.07999999999998,10284.95,122.81,38.49,82.63
egypt,aswan,2023.0,205.52,135.7,224.6,2.32,0.86,17.16,8.43,76.21,5828.93,245.95,34.44,71.45
philippines,manila,2016.0,156.24,102.54,161.3,0.77,2.89,10.53,8.4,258.1,14138.55,221.48,33.76,75.1
bangladesh,dhaka,2019.0,336.6,138.325,277.41,5.1,0.48,14.34,8.73,161.91,7774.59,292.68,23.39,62.88
mexico,mexico city,2015.0,212.56,112.05,183.79,3.95,2.06,12.22,9.7,289.82,11866.85,253.69,30.35,71.41
nigeria,ibadan,2017.0,293.14,177.11,234.22,5.75,0.61,22.72,6.43,116.36,20762.66,324.76,15.32,65.69
uae,abu dhabi,2014.0,127.86,60.45,89.59,0.84,1.5,8.18,9.11,139.73,13833.9,205.8,29.84,76.76
netherlands,the hague,2017.0,67.54,32.55,67.39,0.98,2.73,2.82,0.7,550.4,8830.75,76.67,38.37,81.6
france,nice,2015.0,24.39,12.13,22.63,0.5,4.55,4.42,0.77,482.8,9049.38,108.21,44.11,84.34
india,bangalore,2020.0,319.41,152.65,237.4,1.7,1.34,23.71,15.98,41.08,23699.35,317.67999999999995,18.63,63.79
chile,santiago,2018.0,91.53,46.0,88.05,2.98,2.53,10.06,9.61,174.01,1071.74,189.48,43.56,79.25
indonesia,jakarta,2015.0,175.26,110.31,124.93,3.03,2.38,10.57,5.78,275.93,10421.71,196.28,33.68,73.87
spain,seville,2018.0,44.11,20.24,38.57,0.85,3.04,5.97,0.94,185.66,4042.88,110.36,44.23,83.87
bangladesh,chittagong,2019.0,161.44,80.23,138.64,1.67,0.37,12.62,8.64,166.46,5557.92,230.23,33.89,74.57
south africa,port elizabeth,2014.0,118.81,78.78,116.83,2.06,0.58,11.82,3.45,380.91,2736.43,182.43,36.96,77.84
brazil,sao paulo,2019.0,183.66,82.41,178.05,4.44,2.76,13.67,9.03,104.6,2848.89,247.3,40.98,72.97
poland,krakow,2019.0,146.21,84.94,159.67,2.68,2.28,5.24,4.37,135.19,13621.26,185.57999999999998,30.53,75.52
turkey,ankara,2015.0,82.15,43.02,82.66,1.9,1.56,6.59,6.34,296.58,6460.39,156.42,36.32,80.12
morocco,fez,2021.0,159.81,84.67,156.7,1.72,1.72,5.89,9.89,387.66,8604.17,203.89,34.84,75.12
china,shenzhen,2015.0,176.59,92.88,186.33,3.68,0.26,12.39,11.41,176.63,9569.5,250.81,27.52,73.58
pakistan,rawalpindi,2019.0,164.96,111.12,180.36,2.36,0.24,12.51,10.88,39.9,9687.91,239.37,28.68,74.08
saudi arabia,medina,2015.0,171.28,79.46,137.4,3.59,0.37,12.8,9.31,77.18,12352.44,261.54,25.17,73.74
japan,nagoya,2020.0,15.0,6.84,16.39,0.48,3.38,1.32,3.67,176.62,3768.85,75.38,45.88,86.08
south africa,cape town,2015.0,116.03,64.99,93.38,2.86,0.34,7.21,4.95,331.35,6349.57,146.99,31.82,77.93
brazil,brasilia,2021.0,124.74,60.16,97.78,2.25,1.83,7.27,7.37,145.04,4621.74,164.38,38.62,76.97
argentina,rosario,2022.0,197.96,96.39,183.86,3.08,1.47,12.27,9.89,186.1,5898.62,242.51,35.43,72.17
australia,adelaide,2017.0,15.0,8.66,11.03,0.58,3.83,0.00321,3.29,691.74,5093.48,81.1,45.81,85.38
tanzania,arusha,2017.0,96.57,57.97,84.76,4.3,0.36,2.18,1.76,46.71,1705.82,72.79,35.06,78.66
china,shenzhen,2015.0,189.88,79.21,141.19,2.73,0.26,19.65,7.02,54.18,11219.7,269.32,26.83,72.45
mexico,puebla,2015.0,152.0,99.2,151.41,4.13,2.07,10.58,4.9,261.1,9845.8,191.7,32.23,75.39
mongolia,choibalsan,2022.0,248.14,150.22,241.05,3.98,1.37,19.89,14.31,166.23,10004.12,343.89,30.12,68.79
usa,chicago,2023.0,15.0,9.63,13.95,0.49,2.67,1.34,1.44,175.24,1267.24,71.91,46.24,85.69
russia,saint petersburg,2014.0,141.61,95.31,110.78,2.85,0.72,8.57,5.42,172.84,14287.88,199.0,25.02,75.91
norway,trondheim,2023.0,67.77,46.87,65.12,0.15,2.11,6.99,1.97,450.53,8855.51,109.57,37.31,81.38
ghana,kumasi,2016.0,140.21,94.5,109.18,3.12,2.66,13.63,9.43,304.74,5906.97,233.66,38.94,76.26
ukraine,kyiv,2015.0,168.11,73.45,182.54,2.35,1.92,8.73,8.94,302.56,12312.44,208.08,31.08,74.4
canada,ottawa,2017.0,33.58,16.31,28.9,1.03,2.63,5.01,3.94,182.29,8028.44,116.55,38.84,84.47
mongolia,choibalsan,2017.0,235.13,112.16,232.28,2.63,1.42,10.2,14.61,54.63,13361.14,303.15,28.26,69.43
uk,london,2020.0,37.11,24.74,26.7,0.78,1.67,2.07,3.16,176.62,11096.25,97.58,33.12,84.56
ukraine,kharkiv,2018.0,122.17,50.9,122.2,3.0,0.92,8.38,4.41,144.8,1146.45,132.21,38.6,77.14
egypt,giza,2021.0,186.38,92.79,135.71,2.76,0.36,13.09,7.64,166.45,13424.74,235.87,24.9,72.91
uk,liverpool,2018.0,65.52,37.27,55.97,0.86,3.92,6.92,1.05,406.92,3522.99,89.39,47.36,81.45
kenya,kisumu,2019.0,99.22,61.06,70.74,5.28,0.47,4.36,1.6,59.29,1895.47,79.67,34.22,78.5
romania,constanta,2016.0,184.74,121.59,195.43,4.05,2.69,11.32,8.85,148.68,13814.41,256.03,30.21,72.98
colombia,barranquilla,2015.0,123.07,66.59,105.27,2.23,0.33,12.72,3.22,255.04,5527.45,182.83,31.25,77.31
kenya,kisumu,2016.0,157.74,76.83,123.84,5.5,0.42,6.6,2.86,77.51,2896.06,125.97,32.85,74.64
usa,chicago,2014.0,15.0,8.99,10.99,0.38,3.47,3.53,4.88,185.495,4200.09,126.2,45.82,86.32
saudi arabia,riyadh,2020.0,86.55,58.37,93.91,2.77,1.87,7.29,5.23,346.99,5315.78,159.81,37.52,79.92
pakistan,karachi,2014.0,268.02,136.13,205.69,4.22,1.05,21.52,10.48,111.14,18864.91,336.36,20.07,67.35
brazil,fortaleza,2014.0,99.92,57.79,103.87,1.01,2.28,10.79,8.87,270.68,7123.84,236.54,38.71,78.88
spain,seville,2021.0,36.76,24.94,40.07,0.56,1.36,5.94,2.6,456.68,5152.99,102.92,38.35,83.46
australia,adelaide,2022.0,15.0,7.45,16.42,0.29,4.18,3.18,3.1,180.34,4081.93,77.16,48.16,85.89
bangladesh,khulna,2020.0,181.96,90.71,190.56,4.41,0.24,17.69,5.165,161.5,10267.41,272.59,26.03,73.19
poland,krakow,2014.0,197.2,127.92,187.12,2.91,2.48,11.32,8.37,314.42,14355.68,223.03,30.18,72.48
china,shenzhen,2016.0,300.47,162.26,252.47,4.96,0.69,11.51,14.56,80.46,7774.59,309.68,23.36,65.13
mongolia,murun,2023.0,251.07,101.13,250.62,4.26,1.39,12.06,9.99,148.4,7774.59,295.91,14.09,68.56
south africa,cape town,2021.0,128.66,80.06,136.01,3.61,1.54,4.14,9.25,82.73,3699.44,159.21,37.31,76.59
italy,rome,2020.0,15.0,8.66,11.25,0.29,1.39,6.13,4.4,694.69,792.37,143.39,43.08,85.39
kenya,nakuru,2022.0,126.5,53.03,113.84,6.92,0.61,4.75,3.51,23.84,3022.79,104.21000000000001,31.88,76.61
mongolia,choibalsan,2018.0,279.06,129.2,197.53,3.85,0.59,7.65,10.64,165.25,7774.59,341.23,22.64,66.73
peru,lima,2023.0,100.63,46.54,82.08,2.45,2.83,5.06,6.77,372.09,6754.56,159.53,39.28,79.04
germany,frankfurt,2017.0,19.7,10.73,14.65,0.39,1.76,6.38,1.17,182.29,859.5,85.86,44.03,85.87
mongolia,choibalsan,2018.0,303.65,138.3,218.78,2.47,0.53,21.23,15.11,105.79,7774.59,389.52,22.64,64.97
turkey,izmir,2019.0,72.21,32.31,52.61,0.85,0.58,5.77,3.33,331.85,9882.72,139.11,31.01,80.85
indonesia,medan,2016.0,130.05,68.65,119.31,3.19,0.68,8.82,8.7,115.83,6535.43,195.31,32.31,77.3
colombia,bogota,2015.0,106.25,54.33,112.62,1.72,2.69,4.07,7.29,196.68,8342.8,144.14,38.0,78.31
colombia,barranquilla,2017.0,77.17,31.73,61.26,3.18,1.38,5.66,4.94,138.98,4269.14,137.23,36.7,80.13
mexico,tijuana,2018.0,114.24,53.83,124.48,2.2,2.0,8.72,7.31,118.38,3149.84,164.91,40.67,77.62
germany,frankfurt,2020.0,48.85,32.06,35.88,0.25,3.98,2.1,3.33,176.62,8310.17,108.97,43.39,83.91
thailand,chiang mai,2016.0,107.87,71.76,113.32,1.57,0.73,10.01,4.5,348.28,5131.85,178.16,35.47,78.51
india,chennai,2022.0,174.68,120.57,146.17,1.7,0.82,13.78,6.59,68.89,9251.88,213.62,31.51,73.49
india,bangalore,2019.0,289.42,171.89,226.22,1.58,1.18,20.22,7.35,99.65,7774.59,334.57,16.88,65.9
france,lyon,2016.0,19.81,12.83,17.46,1.09,2.77,2.9,3.71,376.26,3559.56,108.24,43.66,84.43
tanzania,dar es salaam,2017.0,119.18,66.78,96.63,2.91,0.84,6.19,1.5,15.77,3783.55,112.78,35.83,77.09
egypt,giza,2022.0,295.59,189.57,268.25,3.96,0.43,15.56,5.43,62.06,18888.88,361.72,18.46,65.42
romania,cluj-napoca,2018.0,126.48,60.19,94.48,1.38,2.49,5.17,7.16,377.37,14937.81,183.46,31.16,77.32
japan,yokohama,2017.0,25.28,17.68,21.88,0.79,2.62,3.71,3.04,747.19,4127.69,84.04,42.93,84.81
usa,new york,2022.0,33.21,15.0,34.12,1.01,2.94,1.82,2.21,180.34,7837.29,89.46,39.97,85.08
iraq,basra,2018.0,214.91,91.05,225.96,2.2,0.51,20.04,10.21,136.41,15831.18,337.06,23.48,70.95
pakistan,faisalabad,2020.0,319.86,172.17,225.72500000000002,2.55,0.35,18.65,14.86,62.92,7774.59,376.78,23.48,63.8
russia,saint petersburg,2022.0,199.37,88.27,194.99,3.81,2.72,13.81,8.85,386.41,11549.57,256.49,32.81,72.48
spain,madrid,2022.0,46.6,30.24,38.57,1.04,4.5,3.19,0.81,623.56,6037.32,91.45,46.41,83.14
ukraine,kharkiv,2018.0,126.23,80.76,110.23,4.36,0.94,6.8,9.05,247.17,5602.94,170.79,32.86,77.08
peru,cusco,2019.0,143.02,94.11,125.8,1.07,1.07,7.8,5.17,62.06,13875.17,170.17,28.25,75.59
saudi arabia,mecca,2020.0,108.87,46.17,112.96,1.81,1.48,9.52,6.69,312.11,3524.66,169.73,37.74,78.37
peru,arequipa,2019.0,94.72,39.7,71.51,0.71,0.33,9.53,8.67,398.06,3365.75,193.0,36.92,79.48
turkey,adana,2016.0,146.7,61.46,130.67,4.38,1.24,9.08,6.78,123.52,2207.92,183.23,37.14,75.47
romania,iasi,2014.0,118.43,49.51,107.15,3.86,2.83,6.61,6.72,247.18,13181.41,167.19,31.45,77.6
thailand,pattaya,2020.0,119.19,72.92,87.72,3.35,0.85,6.05,3.72,110.77,7774.59,122.93,28.74,77.28
saudi arabia,medina,2019.0,121.59,83.43,97.55,2.51,1.65,5.92,6.45,79.74,926.73,137.3,41.51,77.05
ethiopia,harar,2016.0,124.24,76.45,129.05,5.08,0.86,5.86,2.69,13.41,1414.08,121.41,36.09,76.74
egypt,aswan,2023.0,275.3,115.95,263.13,4.31,1.05,22.51,7.67,30.52,21426.76,344.3,17.41,66.71
ethiopia,mekelle,2021.0,42.6,29.79,33.32,2.66,0.83,5.05,4.24,21.25,298.98,125.72,39.54,82.2
mexico,mexico city,2020.0,131.59,83.16,111.72,3.94,1.76,8.38,4.73,103.56,11807.8,170.63,29.52,76.43
philippines,davao,2022.0,166.94,69.04,123.77,3.79,2.49,12.7,7.57,178.36,10520.42,226.46,33.15,74.23
south africa,port elizabeth,2020.0,174.55,101.79,149.61,3.24,2.66,6.52,8.13,121.31,13872.29,199.63,30.88,73.61
vietnam,ho chi minh city,2017.0,105.15,55.92,76.45,1.76,0.56,8.18,5.35,136.31,5572.57,177.48,34.35,78.26
pakistan,lahore,2016.0,310.68,163.84,310.39,3.01,0.2,19.48,11.29,150.5,21114.08,325.14,16.48,64.59
nigeria,port harcourt,2020.0,248.38,173.34,266.63,3.23,0.54,16.72,6.47,50.19,16025.29,266.98,22.35,68.54
uk,london,2016.0,15.0,9.22,11.15,0.27,1.37,1.43,1.31,808.17,4825.59,67.43,39.01,85.62
kenya,eldoret,2017.0,95.16,63.7,80.26,4.06,0.19,7.05,1.86,66.25,3354.31,104.29,33.17,78.79
iraq,erbil,2015.0,252.81,106.8,184.44,2.56,0.95,21.81,7.84,47.9,22784.37,341.43,17.5,68.24
argentina,mendoza,2016.0,105.34,56.42,93.01,2.41,0.35,4.46,7.81,293.59,8180.29,175.85,30.46,78.56
